Neighborhood,Date,Connections
Roslindale,10/24/2014 12:00:00 AM,527
Roslindale,10/25/2014 12:00:00 AM,418
Roslindale,10/26/2014 12:00:00 AM,286
Downtown Boston,04/28/2014 12:00:00 AM,0
Downtown Boston,04/29/2014 12:00:00 AM,0
Parks,04/28/2014 12:00:00 AM,0
Parks,04/29/2014 12:00:00 AM,0
Parks,04/30/2014 12:00:00 AM,0
Parks,05/01/2014 12:00:00 AM,0
Parks,05/02/2014 12:00:00 AM,0
Parks,05/03/2014 12:00:00 AM,0
Parks,05/04/2014 12:00:00 AM,0
Parks,05/05/2014 12:00:00 AM,0
Parks,05/06/2014 12:00:00 AM,0
Parks,05/07/2014 12:00:00 AM,43
Parks,05/08/2014 12:00:00 AM,40
Parks,05/09/2014 12:00:00 AM,44
Parks,05/10/2014 12:00:00 AM,46
Parks,05/11/2014 12:00:00 AM,53
Parks,05/12/2014 12:00:00 AM,48
Parks,05/13/2014 12:00:00 AM,49
Parks,05/14/2014 12:00:00 AM,48
Parks,05/15/2014 12:00:00 AM,44
Parks,05/16/2014 12:00:00 AM,62
Parks,05/17/2014 12:00:00 AM,55
Parks,05/18/2014 12:00:00 AM,58
Parks,05/19/2014 12:00:00 AM,41
Parks,05/20/2014 12:00:00 AM,44
Parks,05/21/2014 12:00:00 AM,36
Parks,05/22/2014 12:00:00 AM,33
Parks,05/23/2014 12:00:00 AM,42
Parks,05/24/2014 12:00:00 AM,48
Parks,05/25/2014 12:00:00 AM,41
Parks,05/26/2014 12:00:00 AM,42
Parks,05/27/2014 12:00:00 AM,36
Parks,05/28/2014 12:00:00 AM,29
Parks,05/29/2014 12:00:00 AM,43
Parks,05/30/2014 12:00:00 AM,53
Parks,05/31/2014 12:00:00 AM,66
Parks,06/01/2014 12:00:00 AM,48
Parks,06/02/2014 12:00:00 AM,51
Parks,06/03/2014 12:00:00 AM,42
Parks,06/04/2014 12:00:00 AM,38
Parks,06/05/2014 12:00:00 AM,24
Parks,06/06/2014 12:00:00 AM,56
Parks,06/07/2014 12:00:00 AM,44
Parks,06/08/2014 12:00:00 AM,40
Parks,06/09/2014 12:00:00 AM,43
Parks,06/10/2014 12:00:00 AM,36
Parks,06/11/2014 12:00:00 AM,41
Parks,06/12/2014 12:00:00 AM,50
Parks,06/13/2014 12:00:00 AM,38
Parks,06/14/2014 12:00:00 AM,57
Parks,06/15/2014 12:00:00 AM,50
Parks,06/16/2014 12:00:00 AM,53
Parks,06/17/2014 12:00:00 AM,32
Parks,06/18/2014 12:00:00 AM,50
Parks,06/19/2014 12:00:00 AM,59
Parks,06/20/2014 12:00:00 AM,59
Parks,06/21/2014 12:00:00 AM,59
Parks,06/22/2014 12:00:00 AM,49
Parks,06/23/2014 12:00:00 AM,49
Parks,06/24/2014 12:00:00 AM,48
Parks,06/25/2014 12:00:00 AM,54
Parks,06/26/2014 12:00:00 AM,62
Parks,06/27/2014 12:00:00 AM,80
Parks,06/28/2014 12:00:00 AM,55
Parks,06/29/2014 12:00:00 AM,40
Parks,06/30/2014 12:00:00 AM,40
Parks,07/01/2014 12:00:00 AM,57
Parks,07/02/2014 12:00:00 AM,84
Parks,07/03/2014 12:00:00 AM,95
Parks,07/04/2014 12:00:00 AM,61
Parks,07/05/2014 12:00:00 AM,113
Parks,07/06/2014 12:00:00 AM,122
Parks,07/07/2014 12:00:00 AM,128
Parks,07/08/2014 12:00:00 AM,142
Parks,07/09/2014 12:00:00 AM,132
Parks,07/10/2014 12:00:00 AM,133
Parks,07/11/2014 12:00:00 AM,130
Parks,07/12/2014 12:00:00 AM,119
Parks,07/13/2014 12:00:00 AM,110
Parks,07/14/2014 12:00:00 AM,95
Parks,07/15/2014 12:00:00 AM,125
Parks,07/16/2014 12:00:00 AM,115
Parks,07/17/2014 12:00:00 AM,169
Parks,07/18/2014 12:00:00 AM,183
Parks,07/19/2014 12:00:00 AM,133
Parks,07/20/2014 12:00:00 AM,104
Parks,07/21/2014 12:00:00 AM,117
Parks,07/22/2014 12:00:00 AM,139
Parks,07/23/2014 12:00:00 AM,146
Parks,07/24/2014 12:00:00 AM,136
